outer_fold_patient_id,evaluation_mode,normalization,classifier,feature_name,initial_frozen_order,ranking_position,model_input_position,feature_importance,survived_variance_filter,survived_top_k,survived_correlation_pruning,removed_at_stage
491,common_rows,none,extra_trees,higuchi_fractal_dimension,22,14,11.0,0.031450994877542396,True,True,True,retained
491,common_rows,none,extra_trees,detrended_fluctuation_analysis,23,25,,0.02322847123339671,True,False,False,top_k
491,common_rows,none,extra_trees,mean_frequency,24,27,,0.022581330330043937,True,False,False,top_k
491,common_rows,none,extra_trees,median_frequency,25,19,,0.02687901945644204,True,True,False,correlation_pruning
491,common_rows,none,extra_trees,spectral_edge_frequency_95,26,3,3.0,0.04958350276953764,True,True,True,retained
491,common_rows,none,extra_trees,spectral_entropy,27,9,8.0,0.03571231586939095,True,True,True,retained
491,common_rows,none,extra_trees,AvgSampEn,28,32,,0.015856198175653827,True,False,False,top_k
491,common_rows,none,extra_trees,MaxSampEn,29,24,,0.023411439665893725,True,False,False,top_k
491,common_rows,none,extra_trees,MedianSampEn,30,16,13.0,0.03015746432003884,True,True,True,retained
491,common_rows,none,extra_trees,StdSampEn,31,23,,0.0242931789660213,True,False,False,top_k
491,common_rows,none,extra_trees,KurtosisSampEn,32,26,,0.023129914090276787,True,False,False,top_k
491,common_rows,none,extra_trees,SkewnessSampEn,33,29,,0.02000147192992047,True,False,False,top_k
491,common_rows,none,extra_trees,AUC_SampEn,34,5,5.0,0.039669942995323566,True,True,True,retained
491,common_rows,none,random_forest,minimum,1,21,,0.024974756308219055,True,False,False,top_k
491,common_rows,none,random_forest,maximum,2,28,,0.020445913981972555,True,False,False,top_k
491,common_rows,none,random_forest,mean,3,34,,0.005953427024946707,True,False,False,top_k
491,common_rows,none,random_forest,median,4,7,7.0,0.036681065942678115,True,True,True,retained
491,common_rows,none,random_forest,kurtosis,5,6,6.0,0.03751350668220628,True,True,True,retained
491,common_rows,none,random_forest,skewness,6,2,2.0,0.054528241167040165,True,True,True,retained
491,common_rows,none,random_forest,mean_absolute_value,7,4,4.0,0.04120123916201354,True,True,True,retained
491,common_rows,none,random_forest,root_mean_square,8,11,,0.03308055950383499,True,True,False,correlation_pruning
491,common_rows,none,random_forest,peak_to_peak,9,30,,0.019648234929773578,True,False,False,top_k
491,common_rows,none,random_forest,waveform_length,10,10,9.0,0.03310569397739458,True,True,True,retained
491,common_rows,none,random_forest,zero_crossing_count,11,22,,0.024617647767599803,True,False,False,top_k
491,common_rows,none,random_forest,slope_sign_change_count,12,12,10.0,0.032817254652071186,True,True,True,retained
491,common_rows,none,random_forest,approximate_entropy,13,18,15.0,0.028451013367880994,True,True,True,retained
491,common_rows,none,random_forest,permutation_entropy,14,13,,0.031454671246263985,True,True,False,correlation_pruning
491,common_rows,none,random_forest,fuzzy_entropy,15,1,1.0,0.05544963385043973,True,True,True,retained
491,common_rows,none,random_forest,distribution_entropy,16,31,,0.017924354025157286,True,False,False,top_k
491,common_rows,none,random_forest,svd_entropy,17,8,,0.0362129699763282,True,True,False,correlation_pruning
491,common_rows,none,random_forest,lempel_ziv_complexity,18,20,16.0,0.026514744975666683,True,True,True,retained
491,common_rows,none,random_forest,hjorth_mobility,19,17,14.0,0.028904944396094843,True,True,True,retained
491,common_rows,none,random_forest,hjorth_complexity,20,15,12.0,0.030908712067185054,True,True,True,retained
491,common_rows,none,random_forest,katz_fractal_dimension,21,33,,0.013656170315750525,True,False,False,top_k
491,common_rows,none,random_forest,higuchi_fractal_dimension,22,14,11.0,0.031450994877542396,True,True,True,retained
491,common_rows,none,random_forest,detrended_fluctuation_analysis,23,25,,0.02322847123339671,True,False,False,top_k
491,common_rows,none,random_forest,mean_frequency,24,27,,0.022581330330043937,True,False,False,top_k
491,common_rows,none,random_forest,median_frequency,25,19,,0.02687901945644204,True,True,False,correlation_pruning
491,common_rows,none,random_forest,spectral_edge_frequency_95,26,3,3.0,0.04958350276953764,True,True,True,retained
491,common_rows,none,random_forest,spectral_entropy,27,9,8.0,0.03571231586939095,True,True,True,retained
491,common_rows,none,random_forest,AvgSampEn,28,32,,0.015856198175653827,True,False,False,top_k
491,common_rows,none,random_forest,MaxSampEn,29,24,,0.023411439665893725,True,False,False,top_k
491,common_rows,none,random_forest,MedianSampEn,30,16,13.0,0.03015746432003884,True,True,True,retained
491,common_rows,none,random_forest,StdSampEn,31,23,,0.0242931789660213,True,False,False,top_k
491,common_rows,none,random_forest,KurtosisSampEn,32,26,,0.023129914090276787,True,False,False,top_k
491,common_rows,none,random_forest,SkewnessSampEn,33,29,,0.02000147192992047,True,False,False,top_k
491,common_rows,none,random_forest,AUC_SampEn,34,5,5.0,0.039669942995323566,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,minimum,1,23,,0.019881917579718262,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,maximum,2,31,,0.01360240041419023,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,mean,3,34,,0.007530141176904529,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,median,4,2,2.0,0.06173105550681021,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,kurtosis,5,6,6.0,0.04658551199244744,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,skewness,6,17,14.0,0.025186504471651824,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,mean_absolute_value,7,5,5.0,0.04702886594920152,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,root_mean_square,8,12,10.0,0.03279695841851239,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,peak_to_peak,9,30,,0.01394644944073441,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,waveform_length,10,1,1.0,0.0649441279159098,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,zero_crossing_count,11,25,,0.017784993358137,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,slope_sign_change_count,12,22,,0.021909062119173726,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,approximate_entropy,13,10,9.0,0.038416758057355886,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,permutation_entropy,14,24,,0.01915427906524088,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,fuzzy_entropy,15,8,7.0,0.04452107865440818,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,distribution_entropy,16,32,,0.011752150677031307,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,svd_entropy,17,3,3.0,0.05786315487458699,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,lempel_ziv_complexity,18,19,16.0,0.022815413177438362,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,hjorth_mobility,19,11,,0.037907057386578714,True,True,False,correlation_pruning
491,common_rows,jackknife_median,logistic_regression,hjorth_complexity,20,14,11.0,0.030718417005519246,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,katz_fractal_dimension,21,33,,0.00962046462850143,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,higuchi_fractal_dimension,22,18,15.0,0.02311076626936068,True,True,True,retained
491,common_rows,jackknife_median,logistic_regression,detrended_fluctuation_analysis,23,21,,0.022007018208168694,True,False,False,top_k
491,common_rows,jackknife_median,logistic_regression,mean_frequency,24,13,,0.031018294808081746,True,True,False,correlation_pruning
491,common_rows,jackknife_median,logistic_regression,median_frequency,25,4,4.0,0.05510996175949548,True,True,True,retained
