evaluation_mode,normalization,classifier,fold_count,starting_feature_count,mean_final_feature_count,standard_deviation_final_feature_count,minimum_final_feature_count,maximum_final_feature_count,mean_pairwise_jaccard,median_pairwise_jaccard,standard_deviation_pairwise_jaccard,minimum_pairwise_jaccard,maximum_pairwise_jaccard,mean_overlap_coefficient,very_high_stability_feature_count,high_or_better_feature_count,moderate_or_better_feature_count,feature_never_selected_count,most_stable_feature,most_stable_feature_frequency
common_rows,calibration_median,extra_trees,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
common_rows,calibration_median,logistic_regression,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
common_rows,calibration_median,random_forest,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
common_rows,calibration_median_iqr,extra_trees,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
common_rows,calibration_median_iqr,logistic_regression,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
common_rows,calibration_median_iqr,random_forest,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
common_rows,jackknife_median,extra_trees,20,34,9.617647058823529,9.293251725269982,0,20,0.8412099650571214,0.8333333333333334,0.07616958020630009,0.6842105263157895,1.0,0.9293743550051602,14,15,17,14,median,1.0
common_rows,jackknife_median,logistic_regression,20,34,9.617647058823529,9.293251725269982,0,20,0.8412099650571214,0.8333333333333334,0.07616958020630009,0.6842105263157895,1.0,0.9293743550051602,14,15,17,14,median,1.0
common_rows,jackknife_median,random_forest,20,34,9.617647058823529,9.293251725269982,0,20,0.8412099650571214,0.8333333333333334,0.07616958020630009,0.6842105263157895,1.0,0.9293743550051602,14,15,17,14,median,1.0
common_rows,none,extra_trees,20,34,9.117647058823529,8.734344282971444,0,20,0.7520776269880068,0.7368421052631579,0.096789829885936,0.55,1.0,0.8747149122807018,12,12,17,10,median,1.0
common_rows,none,logistic_regression,20,34,9.117647058823529,8.734344282971444,0,20,0.7520776269880068,0.7368421052631579,0.096789829885936,0.55,1.0,0.8747149122807018,12,12,17,10,median,1.0
common_rows,none,random_forest,20,34,9.117647058823529,8.734344282971444,0,20,0.7520776269880068,0.7368421052631579,0.096789829885936,0.55,1.0,0.8747149122807018,12,12,17,10,median,1.0
native_rows,calibration_median,extra_trees,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
native_rows,calibration_median,logistic_regression,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
native_rows,calibration_median,random_forest,20,34,9.441176470588236,9.109406315587195,0,20,0.8102192529828184,0.7777777777777778,0.07773939883575329,0.6,1.0,0.901422858617131,13,14,15,13,median,1.0
native_rows,calibration_median_iqr,extra_trees,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
native_rows,calibration_median_iqr,logistic_regression,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
native_rows,calibration_median_iqr,random_forest,20,34,9.441176470588236,8.835847017313563,0,20,0.7680684554523564,0.7777777777777778,0.07545526200849884,0.631578947368421,1.0,0.8747291021671826,12,14,16,12,kurtosis,1.0
native_rows,jackknife_median,extra_trees,20,34,9.970588235294118,9.372704710108374,0,20,0.8580363188673439,0.8888888888888888,0.07011890705383442,0.7,1.0,0.9247871517027862,15,16,18,14,median,1.0
native_rows,jackknife_median,logistic_regression,20,34,9.970588235294118,9.372704710108374,0,20,0.8580363188673439,0.8888888888888888,0.07011890705383442,0.7,1.0,0.9247871517027862,15,16,18,14,median,1.0
native_rows,jackknife_median,random_forest,20,34,9.970588235294118,9.372704710108374,0,20,0.8580363188673439,0.8888888888888888,0.07011890705383442,0.7,1.0,0.9247871517027862,15,16,18,14,median,1.0
native_rows,none,extra_trees,20,34,9.294117647058824,8.935897681804505,0,20,0.7849023907808736,0.7777777777777778,0.09929675849321425,0.5714285714285714,1.0,0.8940570175438597,12,13,15,12,median,1.0
native_rows,none,logistic_regression,20,34,9.294117647058824,8.935897681804505,0,20,0.7849023907808736,0.7777777777777778,0.09929675849321425,0.5714285714285714,1.0,0.8940570175438597,12,13,15,12,median,1.0
native_rows,none,random_forest,20,34,9.294117647058824,8.935897681804505,0,20,0.7849023907808736,0.7777777777777778,0.09929675849321425,0.5714285714285714,1.0,0.8940570175438597,12,13,15,12,median,1.0
