evaluation_mode,normalization,classifier,pooled_roc_auc,pooled_average_precision,accuracy,sensitivity,specificity,balanced_accuracy,prediction_count,class_0_count,class_1_count,patient_count,mean_patient_auc,std_patient_auc
common_rows,none,logistic_regression,0.3970267554794775,0.6132026105262769,0.4164358264081256,0.3237822349570201,0.5844155844155844,0.45409890968630223,1083,385,698,20,0.3817686361012553,0.3195182510375644
common_rows,none,extra_trees,0.48934432329847805,0.6298786103008495,0.5586334256694367,0.6833810888252149,0.33246753246753247,0.5079243106463737,1083,385,698,20,0.3944157905453234,0.35234440475438233
common_rows,none,random_forest,0.49221337401853166,0.6464715166790416,0.5263157894736842,0.6246418338108882,0.34805194805194806,0.48634689093141814,1083,385,698,20,0.4443405206803514,0.35310972604218605
common_rows,jackknife_median,logistic_regression,0.427406690730473,0.6493989638371185,0.4930747922437673,0.32664756446991405,0.7948051948051948,0.5607263796375545,1083,385,698,20,0.43626848693618153,0.3385345274958467
common_rows,jackknife_median,extra_trees,0.8233933688088415,0.8297234949640583,0.7802400738688827,0.7936962750716332,0.7558441558441559,0.7747702154578946,1083,385,698,20,0.8377325307363485,0.21196967992821586
common_rows,jackknife_median,random_forest,0.8046608119674022,0.8216138571337818,0.7728531855955678,0.8008595988538681,0.7220779220779221,0.7614687604658952,1083,385,698,20,0.8357505441871215,0.19345625611527775
common_rows,calibration_median,logistic_regression,0.48802143415323934,0.6633039304484372,0.4358264081255771,0.28939828080229224,0.7012987012987013,0.4953484910504968,1083,385,698,20,0.4870815028399784,0.3004863727697751
common_rows,calibration_median,extra_trees,0.6788430766940796,0.7224326923072351,0.6528162511542013,0.6547277936962751,0.6493506493506493,0.6520392215234623,1083,385,698,20,0.7409114589400752,0.2839353991456597
common_rows,calibration_median,random_forest,0.7087894913109812,0.751496852494997,0.703601108033241,0.7621776504297995,0.5974025974025974,0.6797901239161984,1083,385,698,20,0.7553574089471715,0.25583295624643093
common_rows,calibration_median_iqr,logistic_regression,0.5090611394336322,0.7095402043556748,0.5041551246537396,0.38108882521489973,0.7272727272727273,0.5541807762438136,1083,385,698,20,0.5682557128829406,0.3231346586722168
common_rows,calibration_median_iqr,extra_trees,0.7453056971681613,0.8238975479076656,0.6694367497691598,0.667621776504298,0.6727272727272727,0.6701745246157853,1083,385,698,20,0.8404405787542844,0.18567136329938091
common_rows,calibration_median_iqr,random_forest,0.7177855096193205,0.781629247576762,0.6888273314866112,0.7392550143266475,0.5974025974025974,0.6683288058646224,1083,385,698,20,0.804381741639326,0.18748554344878407
native_rows,none,logistic_regression,0.4054392280753313,0.5476188986809356,0.4715510522213562,0.37106017191977075,0.5914529914529915,0.4812565816863811,1283,585,698,20,0.45691715453227416,0.324669955413529
native_rows,none,extra_trees,0.4996730585555801,0.5527285700362754,0.5027279812938426,0.49426934097421205,0.5128205128205128,0.5035449268973624,1283,585,698,20,0.42905832649115566,0.3252898995191451
native_rows,none,random_forest,0.4879068400558372,0.5369109225080385,0.4731098986749805,0.4871060171919771,0.4564102564102564,0.4717581368011168,1283,585,698,20,0.425040619972917,0.32272031010506047
native_rows,jackknife_median,logistic_regression,0.43700683270883844,0.5544951253599111,0.5206547155105222,0.29083094555873923,0.7948717948717948,0.5428513702152671,1283,585,698,20,0.44729181370117777,0.30920875182782287
native_rows,jackknife_median,extra_trees,0.8396860382533733,0.8081708528046632,0.6905689789555729,0.5558739255014327,0.8512820512820513,0.7035779883917419,1283,585,698,20,0.8613823460928163,0.17590427972199352
native_rows,jackknife_median,random_forest,0.8239328484314159,0.8030684916773794,0.7170693686671863,0.6332378223495702,0.8170940170940171,0.7251659197217937,1283,585,698,20,0.8442402540640888,0.16791210629753311
native_rows,calibration_median,logistic_regression,0.48802143415323934,0.6633039304484372,0.4358264081255771,0.28939828080229224,0.7012987012987013,0.4953484910504968,1083,385,698,20,0.4870815028399784,0.3004863727697751
native_rows,calibration_median,extra_trees,0.6788430766940796,0.7224326923072351,0.6528162511542013,0.6547277936962751,0.6493506493506493,0.6520392215234623,1083,385,698,20,0.7409114589400752,0.2839353991456597
native_rows,calibration_median,random_forest,0.7087894913109812,0.751496852494997,0.703601108033241,0.7621776504297995,0.5974025974025974,0.6797901239161984,1083,385,698,20,0.7553574089471715,0.25583295624643093
native_rows,calibration_median_iqr,logistic_regression,0.5090611394336322,0.7095402043556748,0.5041551246537396,0.38108882521489973,0.7272727272727273,0.5541807762438136,1083,385,698,20,0.5682557128829406,0.3231346586722168
native_rows,calibration_median_iqr,extra_trees,0.7453056971681613,0.8238975479076656,0.6694367497691598,0.667621776504298,0.6727272727272727,0.6701745246157853,1083,385,698,20,0.8404405787542844,0.18567136329938091
native_rows,calibration_median_iqr,random_forest,0.7177855096193205,0.781629247576762,0.6888273314866112,0.7392550143266475,0.5974025974025974,0.6683288058646224,1083,385,698,20,0.804381741639326,0.18748554344878407
