outer_fold_patient_id,evaluation_mode,normalization,classifier,removed_feature,retained_feature,absolute_spearman_correlation,threshold
491,native_rows,none,random_forest,hjorth_complexity,median_frequency,0.9244188183842924,0.9
491,native_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9601094563268765,0.9
491,native_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9761977483910154,0.9
491,native_rows,jackknife_median,logistic_regression,mean_frequency,median_frequency,0.9023960648758408,0.9
491,native_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9601094563268765,0.9
491,native_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9761977483910154,0.9
491,native_rows,jackknife_median,extra_trees,mean_frequency,median_frequency,0.9023960648758408,0.9
491,native_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9601094563268765,0.9
491,native_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9761977483910154,0.9
491,native_rows,jackknife_median,random_forest,mean_frequency,median_frequency,0.9023960648758408,0.9
491,native_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,native_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,native_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
491,native_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9923986606361125,0.9
491,native_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,native_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,native_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
491,native_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9923986606361125,0.9
491,native_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.975984659099346,0.9
491,native_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.9417453206177171,0.9
491,native_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9701264201027816,0.9
491,native_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,0.9923986606361125,0.9
491,native_rows,calibration_median_iqr,logistic_regression,hjorth_mobility,svd_entropy,0.9784705914832567,0.9
491,native_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9737941593902935,0.9
491,native_rows,calibration_median_iqr,logistic_regression,mean_frequency,svd_entropy,0.9447274510014817,0.9
491,native_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,0.9953609020014129,0.9
491,native_rows,calibration_median_iqr,extra_trees,hjorth_mobility,svd_entropy,0.9784705914832567,0.9
491,native_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9737941593902935,0.9
491,native_rows,calibration_median_iqr,extra_trees,mean_frequency,svd_entropy,0.9447274510014817,0.9
491,native_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,0.9953609020014129,0.9
491,native_rows,calibration_median_iqr,random_forest,hjorth_mobility,svd_entropy,0.9784705914832567,0.9
491,native_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,svd_entropy,0.9737941593902935,0.9
491,native_rows,calibration_median_iqr,random_forest,mean_frequency,svd_entropy,0.9447274510014817,0.9
491,native_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,0.9953609020014129,0.9
638,common_rows,none,logistic_regression,root_mean_square,mean_absolute_value,0.9195332316145578,0.9
638,common_rows,none,logistic_regression,permutation_entropy,slope_sign_change_count,0.9979936220396965,0.9
638,common_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,0.9638565479607482,0.9
638,common_rows,none,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,0.9025390379802882,0.9
638,common_rows,none,logistic_regression,hjorth_complexity,median_frequency,0.9233529111276941,0.9
638,common_rows,none,extra_trees,root_mean_square,mean_absolute_value,0.9195332316145578,0.9
638,common_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,0.9979936220396965,0.9
638,common_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,0.9638565479607482,0.9
638,common_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,0.9025390379802882,0.9
638,common_rows,none,extra_trees,hjorth_complexity,median_frequency,0.9233529111276941,0.9
638,common_rows,none,random_forest,root_mean_square,mean_absolute_value,0.9195332316145578,0.9
638,common_rows,none,random_forest,permutation_entropy,slope_sign_change_count,0.9979936220396965,0.9
638,common_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,0.9638565479607482,0.9
638,common_rows,none,random_forest,hjorth_mobility,spectral_edge_frequency_95,0.9025390379802882,0.9
638,common_rows,none,random_forest,hjorth_complexity,median_frequency,0.9233529111276941,0.9
638,common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9677140138551371,0.9
638,common_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9774867521230373,0.9
638,common_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,0.9361875002258909,0.9
638,common_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9677140138551371,0.9
638,common_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9774867521230373,0.9
638,common_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,0.9361875002258909,0.9
638,common_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9677140138551371,0.9
638,common_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9774867521230373,0.9
638,common_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,0.9361875002258909,0.9
638,common_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
638,common_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,common_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.947036350215721,0.9
638,common_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,common_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
638,common_rows,calibration_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,common_rows,calibration_median,extra_trees,mean_frequency,svd_entropy,0.947036350215721,0.9
638,common_rows,calibration_median,extra_trees,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,common_rows,calibration_median,random_forest,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
638,common_rows,calibration_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,common_rows,calibration_median,random_forest,mean_frequency,svd_entropy,0.947036350215721,0.9
638,common_rows,calibration_median,random_forest,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,common_rows,calibration_median_iqr,logistic_regression,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,common_rows,calibration_median_iqr,logistic_regression,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,common_rows,calibration_median_iqr,logistic_regression,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,common_rows,calibration_median_iqr,logistic_regression,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
638,common_rows,calibration_median_iqr,extra_trees,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,common_rows,calibration_median_iqr,extra_trees,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,common_rows,calibration_median_iqr,extra_trees,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,common_rows,calibration_median_iqr,extra_trees,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
638,common_rows,calibration_median_iqr,random_forest,svd_entropy,hjorth_mobility,0.979084709990667,0.9
638,common_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,hjorth_mobility,0.9496069345444949,0.9
638,common_rows,calibration_median_iqr,random_forest,mean_frequency,hjorth_mobility,0.9868524621545061,0.9
638,common_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,0.9956689464525399,0.9
638,native_rows,none,logistic_regression,root_mean_square,mean_absolute_value,0.9157083658806479,0.9
638,native_rows,none,logistic_regression,svd_entropy,spectral_edge_frequency_95,0.9640731045681223,0.9
638,native_rows,none,logistic_regression,hjorth_complexity,median_frequency,0.9296813678586376,0.9
638,native_rows,none,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,0.9031900579752197,0.9
638,native_rows,none,logistic_regression,permutation_entropy,slope_sign_change_count,0.9981841914747264,0.9
638,native_rows,none,extra_trees,root_mean_square,mean_absolute_value,0.9157083658806479,0.9
638,native_rows,none,extra_trees,svd_entropy,spectral_edge_frequency_95,0.9640731045681223,0.9
638,native_rows,none,extra_trees,hjorth_complexity,median_frequency,0.9296813678586376,0.9
638,native_rows,none,extra_trees,hjorth_mobility,spectral_edge_frequency_95,0.9031900579752197,0.9
638,native_rows,none,extra_trees,permutation_entropy,slope_sign_change_count,0.9981841914747264,0.9
638,native_rows,none,random_forest,root_mean_square,mean_absolute_value,0.9157083658806479,0.9
638,native_rows,none,random_forest,svd_entropy,spectral_edge_frequency_95,0.9640731045681223,0.9
638,native_rows,none,random_forest,hjorth_complexity,median_frequency,0.9296813678586376,0.9
638,native_rows,none,random_forest,hjorth_mobility,spectral_edge_frequency_95,0.9031900579752197,0.9
638,native_rows,none,random_forest,permutation_entropy,slope_sign_change_count,0.9981841914747264,0.9
638,native_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9630211798229977,0.9
638,native_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,0.9745849326879683,0.9
638,native_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,0.9295749453888665,0.9
638,native_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,0.9630211798229977,0.9
638,native_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,0.9745849326879683,0.9
638,native_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,0.9295749453888665,0.9
638,native_rows,jackknife_median,random_forest,spectral_edge_frequency_95,svd_entropy,0.9630211798229977,0.9
638,native_rows,jackknife_median,random_forest,hjorth_mobility,svd_entropy,0.9745849326879683,0.9
638,native_rows,jackknife_median,random_forest,mean_frequency,svd_entropy,0.9295749453888665,0.9
638,native_rows,calibration_median,logistic_regression,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
638,native_rows,calibration_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,0.9722580139896048,0.9
638,native_rows,calibration_median,logistic_regression,mean_frequency,svd_entropy,0.947036350215721,0.9
638,native_rows,calibration_median,logistic_regression,permutation_entropy,slope_sign_change_count,0.9930679346380249,0.9
638,native_rows,calibration_median,extra_trees,hjorth_mobility,svd_entropy,0.9774416828005407,0.9
