patient_id,review_window_fraction,configuration,patient_auc
491,0.03333333333333333,jackknife_roc_auc,0.9941666666666666
638,0.13333333333333333,jackknife_roc_auc,0.7767857142857142
906,0.27586206896551724,jackknife_roc_auc,1.0
1049,0.08196721311475409,jackknife_roc_auc,0.8548387096774194
1855,0.6721311475409836,jackknife_roc_auc,0.9457236842105264
8452,0.07865168539325842,jackknife_roc_auc,0.7190677966101695
10013,0.3,jackknife_roc_auc,1.0
26398,0.9666666666666667,jackknife_roc_auc,0.6231481481481481
26502,0.0,jackknife_roc_auc,0.9528130671506352
27245,0.06741573033707865,jackknife_roc_auc,0.4246704331450094
30071,0.5822784810126582,jackknife_roc_auc,1.0
30851,0.9622641509433962,jackknife_roc_auc,0.2978260869565218
57091,0.7333333333333333,jackknife_roc_auc,0.9666666666666666
59285,0.0,jackknife_roc_auc,0.8294117647058823
70447,0.3611111111111111,jackknife_roc_auc,0.5617732558139534
80436,0.21052631578947367,jackknife_roc_auc,1.0
88503,0.08333333333333333,jackknife_roc_auc,1.0
90396,0.49122807017543857,jackknife_roc_auc,1.0
96305,0.01694915254237288,jackknife_roc_auc,0.8077586206896552
96879,0.559322033898305,jackknife_roc_auc,1.0
491,0.03333333333333333,calibration_iqr_roc_auc,0.945
638,0.13333333333333333,calibration_iqr_roc_auc,0.7162698412698413
906,0.27586206896551724,calibration_iqr_roc_auc,0.7401785714285714
1049,0.08196721311475409,calibration_iqr_roc_auc,1.0
1855,0.6721311475409836,calibration_iqr_roc_auc,0.9967105263157896
8452,0.07865168539325842,calibration_iqr_roc_auc,0.7080508474576271
10013,0.3,calibration_iqr_roc_auc,1.0
26398,0.9666666666666667,calibration_iqr_roc_auc,0.6851851851851852
26502,0.0,calibration_iqr_roc_auc,0.8607078039927405
27245,0.06741573033707865,calibration_iqr_roc_auc,0.4670433145009416
30071,0.5822784810126582,calibration_iqr_roc_auc,1.0
30851,0.9622641509433962,calibration_iqr_roc_auc,0.4434782608695652
57091,0.7333333333333333,calibration_iqr_roc_auc,0.9983333333333334
59285,0.0,calibration_iqr_roc_auc,0.9352941176470588
70447,0.3611111111111111,calibration_iqr_roc_auc,0.6482558139534884
80436,0.21052631578947367,calibration_iqr_roc_auc,0.9574074074074074
88503,0.08333333333333333,calibration_iqr_roc_auc,1.0
90396,0.49122807017543857,calibration_iqr_roc_auc,1.0
96305,0.01694915254237288,calibration_iqr_roc_auc,0.7068965517241379
96879,0.559322033898305,calibration_iqr_roc_auc,1.0
