outer_fold_patient_id,evaluation_mode,normalization,classifier,roc_auc,average_precision,accuracy,sensitivity,specificity,balanced_accuracy,evaluated_rows,class_0_rows,class_1_rows
638,native_rows,calibration_median,logistic_regression,0.36309523809523814,0.6206072912128313,0.28,0.0,1.0,0.5,50,14,36
638,native_rows,calibration_median,extra_trees,0.5654761904761906,0.7959023380021041,0.6,0.6388888888888888,0.5,0.5694444444444444,50,14,36
638,native_rows,calibration_median,random_forest,0.689484126984127,0.8372149588743464,0.7,0.7222222222222222,0.6428571428571429,0.6825396825396826,50,14,36
638,native_rows,calibration_median_iqr,logistic_regression,0.45039682539682535,0.7193729345049047,0.54,0.4166666666666667,0.8571428571428571,0.6369047619047619,50,14,36
638,native_rows,calibration_median_iqr,extra_trees,0.7162698412698413,0.8554606473353412,0.42,0.2222222222222222,0.9285714285714286,0.5753968253968254,50,14,36
638,native_rows,calibration_median_iqr,random_forest,0.4087301587301588,0.6699705215785078,0.3,0.1111111111111111,0.7857142857142857,0.4484126984126984,50,14,36
906,common_rows,none,logistic_regression,0.6160714285714286,0.6159905412425762,0.6666666666666666,0.9642857142857143,0.25,0.6071428571428572,48,20,28
906,common_rows,none,extra_trees,0.8,0.7274522857007814,0.6875,1.0,0.25,0.625,48,20,28
906,common_rows,none,random_forest,0.8,0.7338924251136483,0.6041666666666666,1.0,0.05,0.525,48,20,28
906,common_rows,jackknife_median,logistic_regression,0.8589285714285714,0.8161378424634949,0.7291666666666666,1.0,0.35,0.675,48,20,28
906,common_rows,jackknife_median,extra_trees,1.0,1.0,0.9375,1.0,0.85,0.925,48,20,28
906,common_rows,jackknife_median,random_forest,0.9517857142857143,0.9494743034166413,0.8958333333333334,1.0,0.75,0.875,48,20,28
906,common_rows,calibration_median,logistic_regression,0.8125,0.7342365655663763,0.3541666666666667,0.0,0.85,0.425,48,20,28
906,common_rows,calibration_median,extra_trees,0.9187500000000001,0.9333705292579029,0.875,1.0,0.7,0.85,48,20,28
906,common_rows,calibration_median,random_forest,0.8991071428571429,0.8559898826418898,0.7916666666666666,1.0,0.5,0.75,48,20,28
906,common_rows,calibration_median_iqr,logistic_regression,0.95,0.8942266500861764,0.7708333333333334,1.0,0.45,0.725,48,20,28
906,common_rows,calibration_median_iqr,extra_trees,0.7401785714285714,0.836597965523034,0.7291666666666666,0.9642857142857143,0.4,0.6821428571428572,48,20,28
906,common_rows,calibration_median_iqr,random_forest,0.8160714285714286,0.8106469748706744,0.75,1.0,0.4,0.7,48,20,28
906,native_rows,none,logistic_regression,0.35595238095238096,0.388841181635815,0.603448275862069,0.9642857142857143,0.26666666666666666,0.6154761904761905,58,30,28
906,native_rows,none,extra_trees,0.7113095238095238,0.5775948997627849,0.603448275862069,1.0,0.23333333333333334,0.6166666666666667,58,30,28
906,native_rows,none,random_forest,0.7601190476190477,0.6695373870085705,0.5517241379310345,1.0,0.13333333333333333,0.5666666666666667,58,30,28
906,native_rows,jackknife_median,logistic_regression,0.6666666666666667,0.5801602904332497,0.5862068965517241,0.9642857142857143,0.23333333333333334,0.5988095238095238,58,30,28
906,native_rows,jackknife_median,extra_trees,0.9392857142857143,0.8736982840821403,0.8103448275862069,0.7142857142857143,0.9,0.8071428571428572,58,30,28
906,native_rows,jackknife_median,random_forest,0.9148809523809524,0.8433210765409536,0.8448275862068966,0.8928571428571429,0.8,0.8464285714285715,58,30,28
906,native_rows,calibration_median,logistic_regression,0.8125,0.7342365655663763,0.3541666666666667,0.0,0.85,0.425,48,20,28
906,native_rows,calibration_median,extra_trees,0.9187500000000001,0.9333705292579029,0.875,1.0,0.7,0.85,48,20,28
906,native_rows,calibration_median,random_forest,0.8991071428571429,0.8559898826418898,0.7916666666666666,1.0,0.5,0.75,48,20,28
906,native_rows,calibration_median_iqr,logistic_regression,0.95,0.8942266500861764,0.7708333333333334,1.0,0.45,0.725,48,20,28
906,native_rows,calibration_median_iqr,extra_trees,0.7401785714285714,0.836597965523034,0.7291666666666666,0.9642857142857143,0.4,0.6821428571428572,48,20,28
906,native_rows,calibration_median_iqr,random_forest,0.8160714285714286,0.8106469748706744,0.75,1.0,0.4,0.7,48,20,28
1049,common_rows,none,logistic_regression,0.05806451612903228,0.4168606360308318,0.29411764705882354,0.0,0.75,0.375,51,20,31
1049,common_rows,none,extra_trees,1.0,0.9999999999999999,0.6470588235294118,1.0,0.1,0.55,51,20,31
1049,common_rows,none,random_forest,1.0,0.9999999999999999,0.6470588235294118,1.0,0.1,0.55,51,20,31
1049,common_rows,jackknife_median,logistic_regression,0.01774193548387098,0.4084432870837887,0.23529411764705882,0.0,0.6,0.3,51,20,31
1049,common_rows,jackknife_median,extra_trees,0.8548387096774194,0.8072321261363528,0.7450980392156863,1.0,0.35,0.675,51,20,31
1049,common_rows,jackknife_median,random_forest,0.6862903225806452,0.6663178467198906,0.7058823529411765,1.0,0.25,0.625,51,20,31
1049,common_rows,calibration_median,logistic_regression,0.022580645161290328,0.4086353228530224,0.0784313725490196,0.0,0.2,0.1,51,20,31
1049,common_rows,calibration_median,extra_trees,0.6419354838709678,0.6340362862048868,0.7450980392156863,1.0,0.35,0.675,51,20,31
1049,common_rows,calibration_median,random_forest,0.5919354838709677,0.6080657528065384,0.7058823529411765,1.0,0.25,0.625,51,20,31
1049,common_rows,calibration_median_iqr,logistic_regression,0.8709677419354838,0.8199359564192861,0.5294117647058824,0.2903225806451613,0.9,0.5951612903225807,51,20,31
1049,common_rows,calibration_median_iqr,extra_trees,1.0,1.0,0.5098039215686274,0.1935483870967742,1.0,0.5967741935483871,51,20,31
1049,common_rows,calibration_median_iqr,random_forest,1.0,0.9999999999999998,0.8627450980392157,0.7741935483870968,1.0,0.8870967741935484,51,20,31
1049,native_rows,none,logistic_regression,0.18387096774193545,0.3589835667714677,0.3442622950819672,0.0,0.7,0.35,61,30,31
1049,native_rows,none,extra_trees,0.9989247311827958,0.998991935483871,0.5901639344262295,1.0,0.16666666666666666,0.5833333333333334,61,30,31
1049,native_rows,none,random_forest,0.9059139784946236,0.8867567700473806,0.5901639344262295,1.0,0.16666666666666666,0.5833333333333334,61,30,31
1049,native_rows,jackknife_median,logistic_regression,0.08279569892473117,0.3366212209781258,0.3114754098360656,0.0,0.6333333333333333,0.31666666666666665,61,30,31
1049,native_rows,jackknife_median,extra_trees,0.9607526881720431,0.9521107136370093,0.8360655737704918,1.0,0.6666666666666666,0.8333333333333333,61,30,31
1049,native_rows,jackknife_median,random_forest,0.8258064516129032,0.7041885594276296,0.7377049180327869,1.0,0.4666666666666667,0.7333333333333334,61,30,31
1049,native_rows,calibration_median,logistic_regression,0.022580645161290328,0.4086353228530224,0.0784313725490196,0.0,0.2,0.1,51,20,31
1049,native_rows,calibration_median,extra_trees,0.6419354838709678,0.6340362862048868,0.7450980392156863,1.0,0.35,0.675,51,20,31
1049,native_rows,calibration_median,random_forest,0.5919354838709677,0.6080657528065384,0.7058823529411765,1.0,0.25,0.625,51,20,31
1049,native_rows,calibration_median_iqr,logistic_regression,0.8709677419354838,0.8199359564192861,0.5294117647058824,0.2903225806451613,0.9,0.5951612903225807,51,20,31
1049,native_rows,calibration_median_iqr,extra_trees,1.0,1.0,0.5098039215686274,0.1935483870967742,1.0,0.5967741935483871,51,20,31
1049,native_rows,calibration_median_iqr,random_forest,1.0,0.9999999999999998,0.8627450980392157,0.7741935483870968,1.0,0.8870967741935484,51,20,31
1855,common_rows,none,logistic_regression,0.75,0.8401604674432755,0.7254901960784313,0.90625,0.42105263157894735,0.6636513157894737,51,19,32
1855,common_rows,none,extra_trees,0.02138157894736842,0.42695211100884445,0.21568627450980393,0.34375,0.0,0.171875,51,19,32
1855,common_rows,none,random_forest,0.0625,0.44625188146698047,0.3333333333333333,0.53125,0.0,0.265625,51,19,32
1855,common_rows,jackknife_median,logistic_regression,0.53125,0.6681138103342021,0.6078431372549019,0.5625,0.6842105263157895,0.6233552631578947,51,19,32
1855,common_rows,jackknife_median,extra_trees,0.9457236842105263,0.920048744173218,0.9019607843137255,1.0,0.7368421052631579,0.868421052631579,51,19,32
1855,common_rows,jackknife_median,random_forest,0.872532894736842,0.854939947673453,0.9019607843137255,1.0,0.7368421052631579,0.868421052631579,51,19,32
1855,common_rows,calibration_median,logistic_regression,0.5509868421052632,0.6754711800483009,0.47058823529411764,0.21875,0.8947368421052632,0.5567434210526316,51,19,32
1855,common_rows,calibration_median,extra_trees,0.9342105263157894,0.8963919805212561,0.8823529411764706,1.0,0.6842105263157895,0.8421052631578947,51,19,32
1855,common_rows,calibration_median,random_forest,0.9325657894736843,0.8970384688264611,0.7843137254901961,1.0,0.42105263157894735,0.7105263157894737,51,19,32
1855,common_rows,calibration_median_iqr,logistic_regression,0.5657894736842106,0.8095496324264115,0.6666666666666666,0.53125,0.8947368421052632,0.7129934210526316,51,19,32
1855,common_rows,calibration_median_iqr,extra_trees,0.9967105263157895,0.9981617647058824,0.9803921568627451,0.96875,1.0,0.984375,51,19,32
1855,common_rows,calibration_median_iqr,random_forest,0.8544407894736843,0.8471178676641464,0.8823529411764706,0.96875,0.7368421052631579,0.852796052631579,51,19,32
1855,native_rows,none,logistic_regression,0.8394396551724138,0.89219364693877,0.8524590163934426,0.78125,0.9310344827586207,0.8561422413793103,61,29,32
1855,native_rows,none,extra_trees,0.04687500000000001,0.3399283842301005,0.09836065573770492,0.1875,0.0,0.09375,61,29,32
1855,native_rows,none,random_forest,0.12338362068965517,0.35630562053089954,0.2459016393442623,0.34375,0.13793103448275862,0.2408405172413793,61,29,32
1855,native_rows,jackknife_median,logistic_regression,0.7510775862068966,0.7777388170297227,0.7377049180327869,0.78125,0.6896551724137931,0.7354525862068966,61,29,32
