evaluation_mode,normalization,classifier,feature_name,fold_count,variance_survival_count,variance_survival_frequency,top_k_survival_count,top_k_survival_frequency,final_selection_count,final_selection_frequency,variance_removal_count,top_k_removal_count,correlation_pruning_removal_count,median_ranking_position,mean_ranking_position,ranking_position_standard_deviation,median_model_input_position,mean_model_input_position,mean_feature_importance,median_feature_importance,feature_importance_standard_deviation,minimum_feature_importance,maximum_feature_importance,importance_cv,stability_category
common_rows,calibration_median,extra_trees,minimum,20,20,1.0,0,0.0,0,0.0,0,20,0,25.0,25.05,1.9861361590045288,,,0.020124343641106504,0.0201461034427877,0.0018527739227992492,0.0160869069725422,0.0230968214149796,0.09206630317198149,low
common_rows,calibration_median,extra_trees,maximum,20,20,1.0,1,0.05,1,0.05,0,19,0,24.5,24.4,2.5214866124653734,15.0,15.0,0.020564888688093596,0.0208505228378567,0.0023829858349862436,0.0139163149810679,0.0240833186717649,0.1158764275911649,low
common_rows,calibration_median,extra_trees,mean,20,20,1.0,0,0.0,0,0.0,0,20,0,34.0,34.0,0.0,,,0.007981540716827402,0.0080430333092586,0.0008151008699760502,0.0054142936018711,0.0091651596777493,0.1021232489934658,low
common_rows,calibration_median,extra_trees,median,20,20,1.0,20,1.0,20,1.0,0,0,0,1.0,1.15,0.36634754853252327,1.0,1.15,0.07222812516770219,0.07286902075168825,0.007190120500474276,0.056045725138244,0.0809013480386564,0.09954737830699555,very_high
common_rows,calibration_median,extra_trees,kurtosis,20,20,1.0,18,0.9,18,0.9,0,2,0,15.0,14.7,3.628831912975796,12.0,11.777777777777779,0.03017541693941317,0.030089653833629798,0.0035804888484658065,0.0226825964425488,0.0360137590464356,0.11865582025444045,very_high
common_rows,calibration_median,extra_trees,skewness,20,20,1.0,20,1.0,20,1.0,0,0,0,7.5,8.2,3.2702808506465106,7.0,7.4,0.03819832953425916,0.0378053004428104,0.0041229432347977685,0.0321690722884334,0.0470619693863097,0.10793517112050673,very_high
common_rows,calibration_median,extra_trees,mean_absolute_value,20,20,1.0,17,0.85,17,0.85,0,3,0,18.0,17.3,3.9349981609037368,14.0,13.294117647058824,0.02765695813409269,0.0267922030006158,0.0037726153462469604,0.0214117552802719,0.0388549192948489,0.13640745768047655,high
common_rows,calibration_median,extra_trees,root_mean_square,20,20,1.0,7,0.35,7,0.35,0,13,0,22.0,21.25,2.29128784747792,16.0,15.285714285714286,0.02378270642131194,0.0235448902157,0.0022860759618603126,0.0198313364294181,0.0306239254218719,0.09612345716094511,low
common_rows,calibration_median,extra_trees,peak_to_peak,20,20,1.0,0,0.0,0,0.0,0,20,0,29.0,28.6,1.5694450913417908,,,0.016685735663160707,0.01626416487515195,0.0011644965681288438,0.0144012783911352,0.0192229360560004,0.0697899446351566,low
common_rows,calibration_median,extra_trees,waveform_length,20,20,1.0,20,1.0,20,1.0,0,0,0,6.0,7.45,3.7623480910057667,6.0,6.75,0.04052359417497505,0.0396982183011555,0.006911000910012579,0.0308410815588416,0.0573078862426439,0.17054264437087863,very_high
common_rows,calibration_median,extra_trees,zero_crossing_count,20,20,1.0,0,0.0,0,0.0,0,20,0,27.0,26.75,1.118033988749895,,,0.018493118304791393,0.01852398692485125,0.0016923781207496924,0.0159848107870562,0.0226840288700939,0.09151394009690692,low
common_rows,calibration_median,extra_trees,slope_sign_change_count,20,20,1.0,20,1.0,20,1.0,0,0,0,10.0,10.85,4.648429276308516,9.0,9.7,0.03442582361917024,0.03474318433029995,0.006362154310334615,0.0256130427273514,0.048046087524427,0.1848076136308271,very_high
